track_name,price,rating_count_tot,user_rating,prime_genre
niconico,0.0,182,3.0,Entertainment
Fandango Movies - Times + Tickets,0.0,291787,4.0,Entertainment
iCab Mobile (Web Browser),1.0,2441,4.0,Utilities
iRagdoll - Ragdoll Physics,1.0,1372,4.0,Games
Proloquo2Go - Symbol-based AAC,1.0,773,4.0,Education
Dictionary.com Dictionary & Thesaurus,0.0,200047,4.0,Reference
20 Minutes.fr - l'actualité en continu,0.0,112,3.5,News
The Masters Tournament,0.0,148160,4.5,Sports
myAT&T,0.0,108507,3.0,Utilities
SFR TV,0.0,46,3.0,Entertainment
"Shutterfly: Prints, Photo Books, Cards Made Easy",0.0,51427,4.0,Photo & Video
StickWars,1.0,53821,3.5,Games
Indeed Job Search,0.0,38681,4.0,Business
World Cup Table Tennis™,1.0,17776,4.0,Games
WhatsApp Messenger,0.0,287589,4.5,Social Networking
"iStudiez Pro – Homework, Schedule, Grades",1.0,7308,4.0,Productivity
Zillow Real Estate - Homes for Sale & for Rent,0.0,342969,4.5,Lifestyle
2XL Supercross,1.0,6093,4.0,Games
Pocket Tanks Deluxe,1.0,5452,4.5,Games
Wells Fargo Mobile,0.0,43064,3.0,Finance
radio.de - Der Radioplayer,0.0,64,4.5,Music
AutoScout24 - mobile used & new car market,0.0,220,4.5,Productivity
Sky Burger - Build & Match Food Free,0.0,114096,4.5,Games
MindNode – Delightful Mind Mapping,1.0,1296,4.0,Productivity
Packing Pro,1.0,1293,4.0,Travel
USAA Mobile,0.0,19946,4.0,Finance
The Moron Test,0.0,88613,4.0,Entertainment
Sunday Lawn,1.0,107727,3.5,Games
Peggle Classic,1.0,21416,4.5,Games
SmartGo Player,1.0,533,4.0,Games
I Am T-Pain 2.0,1.0,32650,3.5,Music
TextNow - Unlimited Text + Calls,0.0,164963,3.5,Social Networking
Boating Weather,1.0,141,3.0,Weather
Best Buy,0.0,80424,4.0,Shopping
I Dig It,1.0,17190,4.0,Games
Unblock Me,1.0,7973,4.0,Games
Sonic The Hedgehog,1.0,19621,4.0,Games
10 Pin Shuffle Pro Bowling,1.0,7315,4.0,Games
Sky News,0.0,118,3.0,News
"ESPN: Get scores, news, alerts & watch live sports",0.0,290996,3.5,Sports
LiveATC Air Radio,1.0,2785,4.0,Travel
The Sims 3,1.0,54408,3.5,Games
"Chess Pro with Coach - Learn,Play & Online Friends",1.0,8138,4.0,Games
Guess My Age  Math Magic,0.0,123190,3.0,Education
Crush the Castle,1.0,23810,3.5,Games
2016 U.S. Open Golf Championship,0.0,54192,4.0,Sports
"The Championships, Wimbledon 2016 - Tennis Grand Slam",0.0,20953,4.0,Sports
TuneIn Radio Pro - MLB Audiobooks Podcasts Music,1.0,71609,4.5,Music
NBC News,0.0,32881,3.5,News
"Grindr - Gay and same sex guys chat, meet and date",0.0,23201,2.5,Social Networking
Whole Foods Market,0.0,17906,3.0,Shopping
NAVIGON Europe,1.0,927,3.5,Navigation
Virtual Families,1.0,18920,3.5,Games
Sparkasse+,1.0,30,3.0,Finance
Sparkasse - Your mobile branch,0.0,77,3.0,Finance
Sleep Cycle alarm clock,0.0,104539,4.5,Health & Fitness
FACEinHOLE®,1.0,4016,4.0,Photo & Video
Harvest - Select the Best Produce,1.0,299,4.0,Food & Drink
WORMS,1.0,5758,4.0,Games
Pixel Starships™ : 8Bit MMORPG,0.0,5565,4.5,Games
Traffic Rush,1.0,213092,3.5,Games
MyRadar NOAA Weather Radar Forecast,0.0,150158,4.5,Weather
Resident Evil 4: PLATINUM,1.0,6046,4.0,Games
"Waze - GPS Navigation, Maps & Real-time Traffic",0.0,345046,4.5,Navigation
Cartoon Wars,1.0,35930,3.5,Games
Moto X Mayhem,1.0,22557,4.0,Games
Fantasy Football Manager - FFM for FPL,1.0,292,3.0,Sports
Spotify Music,0.0,878563,4.5,Music
McDo France,0.0,22,3.5,Food & Drink
PGA Championship 2016 – Baltusrol Golf Club,0.0,10472,3.5,Sports
BFMTV : l'info en continu,0.0,115,4.0,News
"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",1.0,13915,4.5,Weather
Spider:  The Secret of Bryce Manor,1.0,6780,4.0,Games
My Measures PRO,1.0,1701,4.0,Productivity
Food Additives Checker (E Numbers),1.0,6,3.5,Health & Fitness
SFR Mon Compte,0.0,19,3.0,Utilities
Baby Connect (Activity Log),1.0,3483,4.5,Medical
Epson iPrint,0.0,2838,3.0,Photo & Video
Mad Libs,0.0,117889,3.0,Entertainment
BATTLE BEARS: Zombies!,1.0,50710,3.5,Games
Hurricane Tracker,1.0,3960,4.5,Weather
NFL Sunday Ticket,0.0,24258,3.0,Entertainment
2016 US Open Tennis Championships,0.0,37522,4.0,Sports
Dropbox,0.0,49578,3.5,Productivity
